关卡ID,HF-003
关卡名称,暗夜潜行
关卡类型,潜入/解谜/抉择
难度,★★★★★
推荐等级,18/13/5（三难度）
游戏时长,25-30分钟
章节,第二章·第三回：许定之谋
胜利条件,收集3封信件，击败或生擒许定
失败条件,暴露值达100%或燎原火阵亡
最大回合数,15
资源需求,角色：燎原火(3难度)、许定、内应、典韦、守卫6、刺客6；场景：敌营
剧情简介,燎原火单枪匹马潜入许定大营，需要在不被发现的情况下收集三封信件，与内应接头，最终面对许定。这不是正面战斗，而是策略与stealth的考验。
核心玩法,谍影重重——潜入、收集、抉择
暴露值系统,初始0%，被发现+20%，击杀守卫+5%，达100%失败
信件1位置,营帐内(3,19)
信件1获取方式,避开守卫甲、乙
信件2位置,许定书房(4,17)
信件2获取方式,需要钥匙（从守卫丙身上获取）
信件3位置,刺客头目身上(3,9)
信件3获取方式,击败或偷窃
道具1,火把：照亮黑暗，吸引守卫
道具2,酒：迷晕守卫（一次性）
道具3,地图：显示巡逻路线（内应给予）
道具4,钥匙：开启书房（守卫丙身上）
特殊规则1,内应机制：与内应对话可获得守卫巡逻路线、许定位置
特殊规则2,刺客威胁：刺客在阴影中，若暴露值>50%会主动追击
特殊规则3,典韦登场：第8回合典韦出现在地图边缘，可能帮助或阻碍
特殊规则4,许定对决：收集全部信件后，可选择暗杀（高难度）或生擒（需对话）
角色1编号,1
角色1地图标识,火
角色1朝向,随机
角色1角色实例,燎原火
角色1实例ID,hero_007
角色1等级,18/13/5
角色1血量,3600/2600/1000
角色1行为树,玩家控制
角色1队伍,友军
角色1特殊,三难度版本
角色2编号,2
角色2地图标识,许
角色2朝向,下
角色2角色实例,许定
角色2实例ID,boss_003
角色2等级,20
角色2血量,4000
角色2行为树,初始静止，信件齐后激活
角色2队伍,敌军
角色2特殊,BOSS
角色3编号,3
角色3地图标识,内
角色3朝向,随机
角色3角色实例,内应
角色3实例ID,npc_003
角色3等级,15
角色3血量,2000
角色3行为树,提供情报/巡逻路线
角色3队伍,友军
角色3特殊,不可控
角色4编号,4
角色4地图标识,典
角色4朝向,随机
角色4角色实例,典韦
角色4实例ID,hero_008
角色4等级,25
角色4血量,5000
角色4行为树,第8回合登场，行为随机
角色4队伍,变数
角色4特殊,友/敌待定
守卫1编号,5
守卫1地图标识,甲
守卫1朝向,右
守卫1角色实例,守卫甲
守卫1实例ID,guard_001
守卫1等级,12
守卫1血量,1500
守卫1行为树,巡逻路线A：甲→乙→丙
守卫1队伍,敌军
守卫2编号,6
守卫2地图标识,乙
守卫2朝向,下
守卫2角色实例,守卫乙
守卫2实例ID,guard_002
守卫2等级,12
守卫2血量,1500
守卫2行为树,巡逻路线B：乙→丁
守卫2队伍,敌军
守卫3编号,7
守卫3地图标识,丙
守卫3朝向,左
守卫3角色实例,守卫丙
守卫3实例ID,guard_003
守卫3等级,12
守卫3血量,1500
守卫3行为树,巡逻路线C：丙→戊
守卫3队伍,敌军
守卫3特殊,携带钥匙
守卫4编号,8
守卫4地图标识,丁
守卫4朝向,上
守卫4角色实例,守卫丁
守卫4实例ID,guard_004
守卫4等级,12
守卫4血量,1500
守卫4行为树,巡逻路线D：丁→己
守卫4队伍,敌军
守卫5编号,9
守卫5地图标识,戊
守卫5朝向,右
守卫5角色实例,守卫戊
守卫5实例ID,guard_005
守卫5等级,12
守卫5血量,1500
守卫5行为树,巡逻路线E：戊→书房
守卫5队伍,敌军
守卫6编号,10
守卫6地图标识,己
守卫6朝向,左
守卫6角色实例,守卫己
守卫6实例ID,guard_006
守卫6等级,12
守卫6血量,1500
守卫6行为树,巡逻路线F：己→营帐
守卫6队伍,敌军
刺客头目编号,11
刺客头目地图标识,刺头
刺客头目朝向,下
刺客头目角色实例,刺客头目
刺客头目实例ID,assassin_boss
刺客头目等级,16
刺客头目血量,2200
刺客头目行为树,保护信件3,追击暴露玩家
刺客头目队伍,敌军
刺客头目特殊,阴影隐形,携带信件3
地形1编号,12
地形1地图标识,栅
地形1朝向,-
地形1实例ID,gate_001
地形1类型,栅栏
地形1初始位置(XY),"(0,20)"
地形1血量,9999
地形1特效,不可穿越,阻挡视线
地形1行为树,静态障碍
地形2编号,13
地形2地图标识,门
地形2朝向,-
地形2实例ID,door_001
地形2类型,营帐门
地形2初始位置(XY),"(3,19)"
地形2血量,800
地形2特效,可破坏,内有信件1
地形2行为树,被攻击后开启
地形3编号,14
地形3地图标识,门
地形3朝向,-
地形3实例ID,door_002
地形3类型,书房门
地形3初始位置(XY),"(4,17)"
地形3血量,800
地形3特效,需钥匙开启,内有信件2
地形3行为树,需钥匙
地形4编号,15
地形4地图标识,阴
地形4朝向,-
地形4实例ID,shadow_001
地形4类型,阴影区
地形4初始位置(XY),多处
地形4血量,-
地形4特效,玩家隐形,刺客隐藏
地形4行为树,区域效果
